Landkreis,Income,Cases,Deaths,LK_Einwohner,Cases_Per_Million,Area,Avg_Age,Std_dev,<30,30-65,>65,Density,west(0)/east(1),c/p,firstcase,firstday
Ahrweiler,22962.0,195.0,1.0,129727.0,1503.1566289207337,787.02,47.14919022254426,24.749372432510928,36492.0,61430.0,31805.0,164.8331681532871,0.0,0.0015031566289207335,6.0,29.0
Aichach-Friedberg,24748.0,390.0,20.0,133596.0,2919.2490793137517,780.24,44.08120752118327,24.23401676027719,41489.0,65623.0,26484.0,171.2242386957859,0.0,0.002919249079313752,4.0,29.0
Alb-Donau-Kreis,22884.0,650.0,27.0,196047.0,3315.531479696195,1358.55,43.58553306094967,24.248563477946323,63530.0,94797.0,37720.0,144.30606160980454,0.0,0.003315531479696195,4.0,21.0
Altenburger Land,18822.0,75.0,4.0,90118.0,832.242171375308,569.41,51.01420359972481,24.721364940072323,19289.0,43488.0,27341.0,158.26557313710683,1.0,0.0008322421713753079,2.0,30.0
Altmarkkreis Salzwedel,19255.0,33.0,1.0,83765.0,393.95929087327636,2293.05,48.07911418850355,24.375561823467105,20432.0,43097.0,20236.0,36.529949194304535,1.0,0.0003939592908732764,1.0,29.0
Altötting,22865.0,604.0,53.0,111210.0,5431.166262026796,569.29,45.17591043970865,24.533633438925534,33735.0,53277.0,24198.0,195.34859210595658,0.0,0.005431166262026796,7.0,35.0
Alzey-Worms,22245.0,270.0,11.0,129244.0,2089.0718331218472,588.07,44.741469623348095,23.927287084006966,38492.0,64844.0,25908.0,219.77655721257668,0.0,0.002089071833121847,2.0,29.0
Amberg,21583.000000000004,89.0,4.0,41970.0,2120.5623064093397,50.13,46.24630688587086,24.502980836480702,12304.0,19829.0,9837.0,837.2232196289647,0.0,0.00212056230640934,1.0,30.0
Amberg-Sulzbach,21427.0,496.0,53.0,103109.0,4810.443317266195,1255.87,45.63896944010707,24.083402129750137,30270.0,51159.0,21680.0,82.10165064855441,0.0,0.004810443317266194,3.0,27.0
Ammerland,21515.0,189.0,5.0,124071.0,1523.321324080567,730.57,45.809274528294274,24.706871436056968,36691.0,58700.0,28680.0,169.8276688065483,0.0,0.0015233213240805669,2.0,26.0
Anhalt-Bitterfeld,18669.0,73.0,2.0,159854.0,456.66670837138884,1453.54,49.94955709584996,24.459868233000932,35754.0,79729.0,44371.0,109.97564566506597,1.0,0.0004566667083713889,2.0,29.0
Ansbach,22278.35373523003,748.0,35.0,225796.0,3312.724760403196,2071.24,44.502050523481365,24.216705143299702,70311.0,109751.0,45734.0,109.01488963133195,0.0,0.0033127247604031957,5.0,32.0
Aschaffenburg,23802.684675261,656.0,39.0,244735.0,2680.450282959119,761.35,45.37081537172861,24.13062134773049,71863.0,120819.0,52053.0,321.4487423655349,0.0,0.0026804502829591193,5.0,28.0
Augsburg,21429.98664091068,816.0,24.0,546669.0,1492.6765556488479,1217.4899999999998,43.788721328628476,24.088810403453397,175422.0,262363.0,108884.0,449.0131335780992,0.0,0.0014926765556488478,21.0,28.0
Aurich,19701.0,130.0,8.0,189848.0,684.7583329821751,1287.36,45.74033964013315,24.349651020911733,56669.0,89890.0,43289.0,147.47079294059162,0.0,0.0006847583329821752,3.0,28.0
Bad Dürkheim,25615.0,329.0,12.0,132660.0,2480.024121815167,594.64,47.37104628373285,24.401946672817004,35664.0,64941.0,32055.0,223.0929638100364,0.0,0.0024800241218151664,2.0,24.0
Bad Kissingen,21738.000000000004,258.0,19.0,103218.0,2499.564029529733,1136.84,47.25395279893043,24.606960587830038,28551.0,49475.0,25192.0,90.79377924773935,0.0,0.0024995640295297334,3.0,28.0
Bad Kreuznach,21680.0,201.0,7.0,158080.0,1271.5080971659918,863.89,46.312503162955466,24.559602006506157,45480.0,75824.0,36776.0,182.98625982474616,0.0,0.0012715080971659918,8.0,28.0
Bad Tölz-Wolfratshausen,25486.0,426.0,10.0,127227.0,3348.345869980429,1110.67,44.824160752041635,24.546274716556788,39008.0,61074.0,27145.0,114.5497762611757,0.0,0.003348345869980429,2.0,28.0
Baden-Baden,29565.0,185.0,19.0,55123.0,3356.130834678809,140.19,47.92368884131851,24.83046948798876,14828.0,25905.0,14390.0,393.20208288750985,0.0,0.0033561308346788093,1.0,24.0
Bamberg,22088.263684027806,626.0,58.0,224678.0,2786.2095977354256,1222.4199999999996,43.84245898574849,23.793497122904853,71327.0,110521.0,42830.0,183.7977127337577,0.0,0.002786209597735426,5.0,30.0
Barnim,19707.0,422.0,29.0,182760.0,2309.039177062815,1479.67,47.429158459181444,24.39404477800414,45330.0,94246.0,43184.0,123.51402677624064,1.0,0.0023090391770628146,2.0,27.0
Bautzen,19467.0,503.0,20.0,300880.0,1671.7628290348312,2395.6,49.13172859611805,25.095819513400635,70914.0,147650.0,82316.0,125.59692770078478,1.0,0.0016717628290348313,5.0,25.0
Bayreuth,21257.858131487887,630.0,39.0,178313.0,3533.1131213091585,1340.5200000000002,45.369967416845654,24.19156491169712,55718.0,83387.0,39208.0,133.01778414346668,0.0,0.0035331131213091585,4.0,27.0
Berchtesgadener Land,22132.0,305.0,22.0,105722.0,2884.9246136092765,839.83,45.972626321863004,24.68675968891825,31252.0,49470.0,25000.0,125.88500053582271,0.0,0.002884924613609277,6.0,33.0
Bergstraße,23330.0,363.0,3.0,269694.0,1345.969876971679,719.47,45.880212388855526,24.299135156081586,77682.0,132148.0,59864.0,374.8509319360085,0.0,0.0013459698769716791,3.0,20.0
Berlin,19719.0,7733.0,211.0,3754418.0,2059.7067241846808,891.12,43.15135468743912,23.88599051754551,1148101.0,1797161.0,699564.0,4213.145255408924,0.0,0.0020597067241846807,58.0,26.0
Bernkastel-Wittlich,22529.0,171.0,2.0,112262.0,1523.2224617412835,1167.94,46.250538917888505,24.444669003182074,32083.0,54607.0,25572.0,96.11966368135349,0.0,0.0015232224617412837,4.0,28.0
Biberach,22970.0,600.0,34.0,199742.0,3003.874998748385,1409.53,43.06171961830762,24.13606087109221,65729.0,96915.0,37098.0,141.70822898412948,0.0,0.0030038749987483853,2.0,23.0
Bielefeld,22659.000000000004,431.0,5.0,333786.0,1291.246487270287,258.82,43.371311259309856,24.44176027315165,112827.0,154580.0,66379.0,1289.645313345182,0.0,0.0012912464872702869,4.0,28.0
Birkenfeld,21504.0,90.0,2.0,80720.0,1114.9653121902877,776.83,47.08595763131814,24.603892535755183,22734.0,38401.0,19585.0,103.9094782642277,0.0,0.0011149653121902874,1.0,33.0
Bochum,19620.0,592.0,19.0,364628.0,1623.5725177441116,145.66,45.24362363833825,24.294467530397483,113164.0,170961.0,80503.0,2503.281614719209,0.0,0.001623572517744112,5.0,27.0
Bodenseekreis,25728.0,294.0,8.0,216227.0,1359.6821858509807,664.79,45.456305179279184,24.663139132461012,65171.0,102157.0,48899.0,325.2560959099866,0.0,0.0013596821858509807,3.0,22.0
Bonn,23056.0,754.0,8.0,327258.0,2303.992568554474,141.06,42.0909435369036,23.975245690623638,116056.0,152269.0,58933.0,2319.99149298171,0.0,0.002303992568554474,4.0,24.0
Borken,21531.0,1111.0,38.0,370676.0,2997.22668853662,1420.98,43.496780206973206,24.17686343173532,121388.0,179098.0,70190.0,260.85940688820386,0.0,0.0029972266885366196,5.0,22.0
Bottrop,19674.0,211.0,7.0,117383.0,1797.534566334137,100.61,46.04355826652922,24.23143040117829,33760.0,57399.0,26224.0,1166.713050392605,0.0,0.001797534566334137,3.0,28.0
Braunschweig,21419.0,332.0,18.0,248292.0,1337.1353084271746,192.7,44.38748529956664,24.166431762716307,79686.0,116439.0,52167.0,1288.4898806434876,0.0,0.0013371353084271744,5.0,31.0
Breisgau-Hochschwarzwald,23963.0,1139.0,71.0,262795.0,4334.17682984836,1378.31,45.05157442112673,24.61684873336207,80602.0,124894.0,57299.0,190.66465454070564,0.0,0.0043341768298483605,3.0,16.0
Bremen,21327.0,1440.0,43.0,569352.0,2529.1910803861233,326.18,44.17553727746632,24.31445167676342,182875.0,267221.0,119256.0,1745.5147464590107,0.0,0.002529191080386123,10.0,26.0
Bremerhaven,17741.0,196.0,6.0,113634.0,1724.8358765862326,93.66,44.381633137969274,24.747868047216354,36893.0,52022.0,24719.0,1213.260730301089,0.0,0.001724835876586233,2.0,29.0
Burgenlandkreis,18674.0,119.0,2.0,180190.0,660.4140074365947,1413.7,49.856126866085795,24.651642187022933,40716.0,89251.0,50223.0,127.45985711254156,1.0,0.0006604140074365948,2.0,30.0
Böblingen,24507.0,1416.0,47.0,391640.0,3615.5653150852813,617.77,43.774693596159736,24.39926002498237,124186.0,189642.0,77812.0,633.9576217686193,0.0,0.0036155653150852824,4.0,26.0
Börde,19778.0,164.0,13.0,171734.0,954.965236936192,2366.59,47.69047480405744,24.088559258454147,41413.0,89688.0,40633.0,72.5660127018199,1.0,0.000954965236936192,2.0,28.0
Calw,23232.0,759.0,27.0,158397.0,4791.757419648099,797.29,44.76730304235561,24.35762800678414,48903.0,76534.0,32960.0,198.66924205746966,0.0,0.004791757419648099,2.0,26.0
Celle,20291.0,220.0,15.0,178936.0,1229.4898734743151,1550.82,45.82959270353646,24.86893241727113,53366.0,83778.0,41792.0,115.38154008846935,0.0,0.0012294898734743149,3.0,22.0
Cham,21238.000000000004,430.0,21.0,127882.0,3362.4747814391394,1520.13,45.35592968517853,24.018896486730586,37816.0,62942.0,27124.0,84.12569977567708,0.0,0.0033624747814391394,7.0,23.0
Chemnitz,19659.000000000004,210.0,6.0,247237.0,849.3874298749781,221.05,47.554457868361126,25.41227349038209,68432.0,110164.0,68641.0,1118.4664103144084,1.0,0.0008493874298749782,3.0,27.0
Cloppenburg,19820.0,116.0,0.0,169348.0,684.9800410988025,1420.42,41.313768098826095,23.905616754275066,61283.0,80342.0,27723.0,119.22389152504186,0.0,0.0006849800410988025,2.0,29.0
Coburg,24696.27679762788,469.0,29.0,128155.0,3659.6309156880334,638.7099999999998,46.51042097460107,24.39296905091599,36397.0,62039.0,29719.0,200.64661583504247,0.0,0.003659630915688034,3.0,31.0
Cochem-Zell,21797.0,135.0,1.0,61587.0,2192.0210434020164,692.43,47.376264471398194,24.507858062564743,17013.0,29594.0,14980.0,88.94328668601881,0.0,0.0021920210434020165,2.0,29.0
Coesfeld,23009.0,871.0,24.0,219929.0,3960.369028186369,1112.05,44.95660645026349,24.30992405513317,66810.0,107534.0,45585.0,197.7689852074997,0.0,0.003960369028186369,10.0,21.0
Cottbus,19983.0,39.0,0.0,100219.0,389.1477663916024,165.62,47.43540645985293,24.89348488251421,27178.0,47600.0,25441.0,605.1141166525783,1.0,0.00038914776639160237,3.0,28.0
Cuxhaven,21012.0,360.0,20.0,198213.0,1816.227997154576,2058.97,47.21161578705736,24.8032200718021,55110.0,93004.0,50099.0,96.26803693108693,0.0,0.001816227997154576,2.0,19.0
Dachau,24411.0,918.0,30.0,153884.0,5965.532479010164,579.16,43.270466715188064,23.814363798985443,48515.0,76979.0,28390.0,265.70205124663306,0.0,0.005965532479010163,2.0,26.0
Dahme-Spreewald,20068.0,252.0,8.0,169067.0,1490.5333388538272,2274.49,47.618195744882215,24.58414082479346,41942.0,86462.0,40663.0,74.3318282340217,1.0,0.0014905333388538272,3.0,31.0
Darmstadt,21986.0,223.0,18.0,159207.0,1400.692180620199,122.07,41.27657703492937,23.54428631376336,60188.0,71603.0,27416.0,1304.227082821332,0.0,0.001400692180620199,2.0,30.0
Darmstadt-Dieburg,23714.000000000004,427.0,20.0,297399.0,1435.7815594537979,658.64,44.69533017932138,24.1822949816215,90385.0,145306.0,61708.0,451.53498117332686,0.0,0.0014357815594537979,3.0,29.0
Deggendorf,21776.0,327.0,15.0,119326.0,2740.3918676566723,861.17,44.711060456229156,23.84265473807257,36629.0,58438.0,24259.0,138.56265313468887,0.0,0.0027403918676566718,3.0,29.0
Delmenhorst,18845.0,85.0,3.0,77607.0,1095.2620253327664,62.45,44.644001185460084,24.71189003913966,24592.0,35988.0,17027.0,1242.7061649319455,0.0,0.0010952620253327663,1.0,5.0
Dessau-Roßlau,19294.0,66.0,2.0,81237.0,812.4376823368663,244.75,51.12428450090476,25.11623284798255,18186.0,37554.0,25497.0,331.9182839632278,1.0,0.0008124376823368662,2.0,33.0
Diepholz,22469.0,378.0,26.0,216886.0,1742.8510830574587,1990.99,45.8446972142047,24.49926542047132,63492.0,104913.0,48481.0,108.93374652810913,0.0,0.0017428510830574588,11.0,28.0
Dingolfing-Landau,23052.0,220.0,9.0,96217.0,2286.498227963873,877.58,44.042736730515394,23.69578930226657,29945.0,47971.0,18301.0,109.63900726999249,0.0,0.002286498227963873,1.0,26.0
Dithmarschen,21571.0,70.0,4.0,133210.0,525.4860746190226,1428.14,46.967577509196005,24.740545714708052,38388.0,61860.0,32962.0,93.27516910106851,0.0,0.0005254860746190226,6.0,32.0
Donau-Ries,24066.0,353.0,23.0,133496.0,2644.2739857374004,1274.58,44.169218553364885,24.1139379219577,41862.0,65143.0,26491.0,104.73724677933123,0.0,0.0026442739857374005,3.0,26.0
Donnersbergkreis,21375.0,137.0,6.0,75101.0,1824.2100637807755,645.41,45.84210596396853,24.201619267211598,21635.0,37129.0,16337.0,116.36169256751523,0.0,0.0018242100637807753,1.0,29.0
Dortmund,18946.0,869.0,9.0,587010.0,1480.3836391202874,280.71,44.05923238104973,24.2431388348561,189481.0,277320.0,120209.0,2091.161697125147,0.0,0.0014803836391202876,7.0,28.0
Dresden,18922.0,625.0,10.0,554649.0,1126.8387755138835,328.48,43.61338522200527,25.00339497318037,182602.0,250849.0,121198.0,1688.5320263029712,1.0,0.0011268387755138836,9.0,28.0
Duisburg,16881.0,1393.0,57.0,498590.0,2793.8787380412764,232.8,44.01692974187208,24.433461346403433,161582.0,235384.0,101624.0,2141.7096219931273,0.0,0.0027938787380412766,8.0,27.0
Düren,20526.0,605.0,39.0,263722.0,2294.0824049567345,941.77,45.031243127232464,24.293442067088886,80811.0,126876.0,56035.0,280.02803232211687,0.0,0.0022940824049567346,4.0,21.0
Düsseldorf,24882.0,1630.0,36.0,619294.0,2632.02937538552,217.41,43.54809751103676,23.848285054584288,192244.0,307431.0,119619.0,2848.5074283611607,0.0,0.0026320293753855197,7.0,28.0
Ebersberg,26614.0,518.0,5.0,142142.0,3644.243080862799,549.4,43.269818209959055,24.163134509386968,45410.0,70171.0,26561.0,258.7222424463051,0.0,0.0036442430808627992,2.0,20.0
Eichsfeld,19127.0,159.0,9.0,100380.0,1583.9808726838016,943.07,46.54478481769278,24.658430991578694,26637.0,49988.0,23755.0,106.43960681603701,1.0,0.0015839808726838015,2.0,31.0
Eichstätt,23779.0,302.0,18.0,132341.0,2281.9836634149656,1213.86,42.50762424343174,23.898417279012765,44052.0,65086.0,23203.0,109.02492873972288,0.0,0.0022819836634149658,2.0,30.0
Eisenach,19062.0,30.0,2.0,42370.0,708.0481472740147,104.17,47.792046259145614,25.005348363273967,11011.0,20394.0,10965.0,406.73898435250067,1.0,0.0007080481472740147,1.0,27.0
Elbe-Elster,18189.0,80.0,3.0,102638.0,779.4384146222645,1899.57,50.368835129289344,24.484747079001504,22174.0,51762.0,28702.0,54.03222834641525,1.0,0.0007794384146222646,3.0,27.0
Emden,18593.0,19.0,0.0,50195.0,378.52375734634916,112.34,44.10849686223728,24.388891777966286,16586.0,22962.0,10647.0,446.81324550471777,0.0,0.00037852375734634923,3.0,28.0
Emmendingen,22742.0,530.0,43.0,165383.0,3204.6824643403497,679.79,44.82164128114739,24.34313577697987,50348.0,80444.0,34591.0,243.28542638167667,0.0,0.0032046824643403495,2.0,23.0
Emsland,20469.0,461.0,25.0,325657.0,1415.599848920797,2883.67,43.34609880948361,24.01518759955216,106490.0,157465.0,61702.0,112.93143806330127,0.0,0.001415599848920797,4.0,29.0
Ennepe-Ruhr-Kreis,24220.0,462.0,14.0,324296.0,1424.6244171991018,409.64,46.77980456126502,24.536455573200808,91419.0,156135.0,76742.0,791.6609706083391,0.0,0.001424624417199102,4.0,28.0
Enzkreis,24829.0,667.0,21.0,198905.0,3353.3596440511797,573.6,45.041268444734925,24.42703102383212,60376.0,96432.0,42097.0,346.76603905160385,0.0,0.00335335964405118,2.0,27.0
Erding,24172.0,627.0,11.0,137660.0,4554.69998547145,870.75,42.70817957286067,23.397169305826388,44388.0,70001.0,23271.0,158.09359747344243,0.0,0.0045546999854714516,3.0,26.0
Erfurt,18601.0,139.0,2.0,213699.0,650.4475921740392,269.91,44.86431616432459,24.519427251383142,64544.0,101730.0,47425.0,791.7416916750027,1.0,0.0006504475921740391,4.0,30.0
Erlangen,23528.000000000004,259.0,11.0,111962.0,2313.284864507601,76.96,41.85736231935835,23.65961430889436,40789.0,51388.0,19785.0,1454.8076923076926,0.0,0.002313284864507601,4.0,22.0
Erlangen-Höchstadt,25135.0,245.0,11.0,136271.0,1797.888031936362,564.56,44.58598307783755,24.187553891479002,40757.0,67728.0,27786.0,241.37558452600257,0.0,0.001797888031936362,2.0,22.0
Erzgebirgskreis,19216.0,558.0,43.0,337696.0,1652.3737325878894,1827.9,49.71792381313371,24.95876823817252,78207.0,160162.0,99327.0,184.7453361781279,1.0,0.0016523737325878896,7.0,32.0
Essen,20159.000000000004,917.0,41.0,583109.0,1572.604778866387,210.34,44.715123587528225,24.48381816531914,182542.0,274754.0,125813.0,2772.2211657316725,0.0,0.001572604778866387,8.0,29.0
Esslingen,24908.0,1844.0,115.0,533859.0,3454.095557066567,641.28,44.29941145508458,24.29064828659904,167215.0,257524.0,109120.0,832.4897080838324,0.0,0.0034540955570665664,6.0,20.0
Euskirchen,20938.000000000004,473.0,22.0,192840.0,2452.810620203277,1248.73,45.55595312175897,24.29798873602364,56810.0,94357.0,41673.0,154.42889976215838,0.0,0.0024528106202032773,3.0,26.0
Flensburg,18481.0,46.0,3.0,89504.0,513.9435109045405,56.74,42.99220146585628,24.281904454657393,32744.0,38772.0,17988.0,1577.4409587592527,0.0,0.0005139435109045406,4.0,31.0
Forchheim,23187.0,207.0,4.0,116099.0,1782.961093549471,642.83,44.8917303335946,24.025312029998126,34729.0,57887.0,23483.0,180.6060700340681,0.0,0.0017829610935494707,2.0,28.0
Frankfurt (Oder),17381.0,31.0,0.0,57873.0,535.6556598068183,147.85,48.064062688991406,24.841788963427547,15331.0,27617.0,14925.0,391.4305038890768,1.0,0.0005356556598068183,1.0,34.0
Frankfurt am Main,21690.0,1717.0,64.0,753056.0,2280.0429184549357,248.31,41.16481111630476,22.831801351021248,250219.0,385077.0,117760.0,3032.725222504128,0.0,0.0022800429184549357,10.0,27.0
Freising,23210.0,966.0,43.0,179116.0,5393.1530404877285,799.85,41.72497431831886,23.1118797151558,60776.0,90103.0,28237.0,223.93698818528478,0.0,0.005393153040487729,2.0,18.0
Freudenstadt,23982.0,570.0,38.0,117935.0,4833.170814431679,870.39,44.674965023105955,24.351318321252407,36832.0,56888.0,24215.0,135.49673135031423,0.0,0.004833170814431679,2.0,29.0
Freyung-Grafenau,20108.0,195.0,12.0,78355.0,2488.6733456703464,983.87,45.97776785144534,23.87186985284493,22636.0,38749.0,16970.0,79.63958653074084,0.0,0.0024886733456703464,1.0,29.0
Friesland,20242.0,34.0,2.0,98460.0,345.3178955921186,609.53,47.64585110704855,24.940233710162826,27338.0,45403.0,25719.0,161.5342969172969,0.0,0.00034531789559211863,2.0,25.0
Fulda,22038.0,380.0,12.0,222584.0,1707.2206447902813,1380.41,44.660451784494846,24.521580430104922,70555.0,105134.0,46895.0,161.2448475452945,0.0,0.0017072206447902815,7.0,28.0
Fürstenfeldbruck,25055.0,907.0,35.0,219320.0,4135.5097574320625,434.8,44.61191865766915,24.6352558717174,67540.0,104542.0,47238.0,504.4158233670653,0.0,0.004135509757432063,3.0,7.0
Fürth,23672.033969037468,905.0,96.0,245135.0,3691.843270034879,370.79,44.692579598996474,24.03268304146119,72845.0,122124.0,50166.0,661.1154561881388,0.0,0.0036918432700348788,3.0,25.0
Garmisch-Partenkirchen,23933.000000000004,288.0,18.0,88467.0,3255.4511851876973,1012.21,46.977703550476456,24.912147688837475,25313.0,40981.0,22173.0,87.39984785765799,0.0,0.003255451185187697,1.0,26.0
Gelsenkirchen,16203.0,473.0,16.0,260654.0,1814.6661858248867,104.94,44.103871415746546,24.502250004720302,84056.0,122873.0,53725.0,2483.8383838383843,0.0,0.0018146661858248867,3.0,27.0
Gera,18891.0,254.0,19.0,94152.0,2697.7653156597844,152.19,49.60926480584587,25.12764426972618,22693.0,44183.0,27276.0,618.6477429528877,1.0,0.0026977653156597843,1.0,28.0
Germersheim,22212.0,147.0,5.0,129075.0,1138.8727484020915,463.32,44.47411582413325,23.98686192482717,39277.0,64183.0,25615.0,278.5871535871536,0.0,0.0011388727484020918,2.0,28.0
Gießen,20153.0,247.0,4.0,268876.0,918.6390752614587,854.56,43.18993699698003,23.97084418882091,93796.0,123028.0,52052.0,314.63677214004866,0.0,0.0009186390752614588,3.0,22.0
Gifhorn,23101.0,158.0,4.0,175920.0,898.1355161437018,1567.58,44.51847430650296,24.281204104709843,53415.0,87241.0,35264.0,112.22393753428852,0.0,0.0008981355161437017,2.0,28.0
Goslar,20269.000000000004,261.0,25.0,137014.0,1904.9148262221381,966.72,48.700096340519956,24.794076098438115,36986.0,62609.0,37419.0,141.7308010592519,0.0,0.001904914826222138,5.0,30.0
Gotha,18780.0,309.0,30.0,135452.0,2281.250922836133,936.08,47.79747807341346,24.521295591228213,33918.0,67567.0,33967.0,144.7013075805487,1.0,0.0022812509228361338,4.0,36.0
Grafschaft Bentheim,19439.0,249.0,18.0,136511.0,1824.0288328413092,981.79,44.27575433481551,24.399523007369215,43310.0,65149.0,28052.0,139.04297252976707,0.0,0.0018240288328413095,3.0,29.0
Greiz,19502.0,664.0,48.0,98159.0,6764.535091025785,845.98,50.81976690879085,24.59901698841001,20862.0,48655.0,28642.0,116.02992978557413,1.0,0.0067645350910257845,1.0,31.0
Groß-Gerau,20738.000000000004,546.0,14.0,274526.0,1988.8826559233005,453.03,43.3341031450573,24.117301063786353,88262.0,133486.0,52778.0,605.9775290819592,0.0,0.0019888826559233005,3.0,29.0
Göppingen,23985.0,784.0,39.0,257253.0,3047.583507286601,642.34,44.97562321916557,24.534996978095776,78916.0,122873.0,55464.0,400.4935081109692,0.0,0.003047583507286601,3.0,21.0
Görlitz,18287.0,269.0,23.0,254894.0,1055.3406514080364,2111.42,50.181826563198825,25.176153448479198,58951.0,120647.0,75296.0,120.72159968173078,1.0,0.0010553406514080363,6.0,27.0
Günzburg,23362.0,238.0,4.0,125747.0,1892.689288810071,762.4,43.99899401178558,23.99933589656279,39734.0,61640.0,24373.0,164.93572927597063,0.0,0.001892689288810071,2.0,30.0
Gütersloh,24271.0,1085.0,20.0,364083.0,2980.089704820055,969.21,43.87861833702755,24.31145734975021,116695.0,176355.0,71033.0,375.6492401027641,0.0,0.0029800897048200548,6.0,28.0
Hagen,19774.0,360.0,13.0,188814.0,1906.6382789411805,160.45,45.110611501265794,24.86857058950109,58953.0,87876.0,41985.0,1176.7778124026174,0.0,0.0019066382789411803,3.0,27.0
Hamburg,24421.0,5160.0,259.0,1841179.0,2802.5520603917385,755.09,42.5924494576573,23.74895270100123,601494.0,903430.0,336255.0,2438.357017044326,0.0,0.0028025520603917383,22.0,24.0
