Landkreis,Income,Cases,Deaths,LK_Einwohner,Cases_Per_Million,Area,Avg_Age,Std_dev,<30,30-65,>65,Density,west(0)/east(1),c/p,firstcase,firstday
Hameln-Pyrmont,21292.0,133.0,7.0,148559.0,895.2672002369427,797.54,47.51704709913235,25.019750486752077,41477.0,69390.0,37692.0,186.2715349700329,0.0,0.0008952672002369428,2.0,29.0
Hamm,18006.0,500.0,36.0,179111.0,2791.565007174322,226.43,44.202516875010474,24.47536291627416,57661.0,84110.0,37340.0,791.0215077507397,0.0,0.002791565007174322,2.0,29.0
Harburg,24798.0,554.0,13.0,252776.0,2191.663765547362,1248.57,45.71840483273729,24.567619107346406,73136.0,123227.0,56413.0,202.45240555195144,0.0,0.002191663765547362,3.0,23.0
Harz,18785.0,258.0,4.0,214446.0,1203.1000811393078,2104.53,49.841202447236135,24.516172146252842,48660.0,105531.0,60255.0,101.89733574717394,1.0,0.0012031000811393079,8.0,34.0
Havelland,19437.0,179.0,6.0,161909.0,1105.5592956537314,1727.3,46.73719187938904,24.30303736485857,42226.0,83422.0,36261.0,93.73530944248249,1.0,0.0011055592956537314,2.0,22.0
Haßberge,21147.0,166.0,6.0,84599.0,1962.1981347297246,956.19,45.2641284175936,24.0465852027793,25052.0,41997.0,17550.0,88.47509386209852,0.0,0.001962198134729725,1.0,28.0
Heidekreis,20183.0,74.0,2.0,139755.0,529.4980501592072,1881.41,45.64017029802154,24.65741230767071,42137.0,66291.0,31327.0,74.28205441663431,0.0,0.0005294980501592072,2.0,35.0
Heidelberg,23189.0,313.0,7.0,160355.0,1951.9191793208813,108.89,40.801836550154356,22.971009572456182,61019.0,73085.0,26251.0,1472.6329323170169,0.0,0.0019519191793208818,2.0,21.0
Heidenheim,22034.000000000004,511.0,41.0,132472.0,3857.418926263663,627.14,45.03353916299294,24.693372931178132,40943.0,62604.0,28925.0,211.23194183117008,0.0,0.0038574189262636635,4.0,29.0
Heilbronn,24414.92954024023,1409.0,58.0,469028.0,3004.08504396326,1199.8000000000004,43.58116359790887,24.08450773345584,150359.0,228253.0,90416.0,390.9218203033838,0.0,0.00300408504396326,7.0,19.0
Heinsberg,19448.0,1923.0,79.0,254322.0,7561.280581310307,627.99,45.09852863692484,24.179351521050254,76355.0,124953.0,53014.0,404.977786270482,0.0,0.007561280581310307,3.0,14.0
Helmstedt,22604.0,141.0,1.0,91307.0,1544.24085776556,676.15,46.72907334596472,24.493318319807933,25208.0,44748.0,21351.0,135.03956222731642,0.0,0.00154424085776556,2.0,30.0
Herford,22062.0,354.0,7.0,250783.0,1411.578934776281,450.41,45.55150668107488,24.694480491804423,75222.0,120130.0,55431.0,556.7882595857109,0.0,0.0014115789347762806,3.0,27.0
Herne,17579.0,219.0,2.0,156374.0,1400.4885722690476,51.42,45.18987171780475,24.417614461921055,48001.0,74220.0,34153.0,3041.1124076234933,0.0,0.0014004885722690473,2.0,28.0
Hersfeld-Rotenburg,20459.0,283.0,22.0,120829.0,2342.1529599682194,1097.74,46.633188224681156,24.71722289612709,34571.0,57295.0,28963.0,110.07069069178492,0.0,0.0023421529599682196,6.0,29.0
Herzogtum Lauenburg,22961.0,266.0,16.0,197264.0,1348.4467515613596,1263.04,45.755168200989544,24.718317207432538,57167.0,95987.0,44110.0,156.18191031162908,0.0,0.0013484467515613595,3.0,27.0
Hildburghausen,19529.0,67.0,1.0,63553.0,1054.238194892452,938.42,48.31520935282363,24.20727691369443,15048.0,32681.0,15824.0,67.72340742950918,1.0,0.0010542381948924519,1.0,37.0
Hildesheim,20609.0,412.0,6.0,276594.0,1489.5478571480219,1208.33,46.23544617742974,24.613377889051176,82459.0,129628.0,64507.0,228.90601077520213,0.0,0.001489547857148022,6.0,29.0
Hochsauerlandkreis,23151.0,616.0,17.0,260475.0,2364.910260101737,1960.17,45.7717535272099,24.4715100752212,77613.0,125531.0,57331.0,132.88388252039363,0.0,0.002364910260101737,6.0,28.0
Hochtaunuskreis,31612.0,288.0,5.0,236564.0,1217.429532811417,481.84,45.62966258602322,24.837822623584785,69435.0,113711.0,53418.0,490.9596546571476,0.0,0.0012174295328114169,3.0,26.0
Hof,21293.590236627162,568.0,36.0,141241.0,4021.4951749138,950.54,47.53837766654159,24.684083719993517,39070.0,66657.0,35514.0,148.59027500157802,0.0,0.0040214951749137995,2.0,28.0
Hohenlohekreis,23219.0,772.0,47.0,112010.0,6892.241764128203,776.76,43.9450495491474,24.082058252662417,35607.0,54615.0,21788.0,144.20155517791852,0.0,0.006892241764128203,2.0,24.0
Holzminden,20573.0,106.0,7.0,70975.0,1493.483620993307,694.24,47.976963719619576,24.995937348144906,19604.0,32715.0,18656.0,102.23409771836828,0.0,0.0014934836209933074,2.0,28.0
Höxter,21148.000000000004,366.0,18.0,140667.0,2601.889568982064,1201.42,46.017911094997395,24.64214106831987,41890.0,66940.0,31837.0,117.08395065838756,0.0,0.002601889568982064,2.0,31.0
Ilm-Kreis,18691.0,135.0,6.0,108742.0,1241.470636920417,843.71,47.87665299516286,24.66365000099793,28040.0,52655.0,28047.0,128.88551753564613,1.0,0.0012414706369204172,2.0,34.0
Ingolstadt,22950.0,474.0,37.0,136981.0,3460.333914922508,133.35,42.64319504164811,23.808205589037343,44944.0,66899.0,25138.0,1027.2290963629546,0.0,0.0034603339149225074,2.0,34.0
Jena,18030.0,161.0,3.0,111407.0,1445.1515613920133,114.76,43.131145260172154,24.61696308496868,38486.0,49220.0,23701.0,970.7825026141513,1.0,0.0014451515613920132,8.0,31.0
Jerichower Land,19626.0,33.0,2.0,89928.0,366.9602348545503,1576.85,49.01678009073926,24.379151356195077,20602.0,46162.0,23164.0,57.030155055966006,1.0,0.0003669602348545503,1.0,30.0
Kaiserslautern,19895.70614661344,291.0,7.0,205902.0,1413.2937028295016,779.7,44.501022331011846,24.364591439593173,66803.0,95921.0,43178.0,264.0784917275875,0.0,0.0014132937028295013,3.0,20.0
Karlsruhe,23189.419867850484,1371.0,93.0,757324.0,1810.3216060761315,1258.7,44.06415153883939,23.974850676114126,242301.0,363737.0,151286.0,601.6715659013267,0.0,0.0018103216060761313,8.0,24.0
Kassel,20577.46634095359,759.0,37.0,438218.0,1732.0146593704505,1400.14,45.2945143741243,24.4963158694033,135253.0,204880.0,98085.0,312.9815589869585,0.0,0.0017320146593704504,6.0,28.0
Kaufbeuren,21906.0,111.0,5.0,43893.0,2528.877041897341,40.02,45.547182922106025,24.809177085858693,13296.0,20555.0,10042.0,1096.7766116941527,0.0,0.002528877041897341,1.0,28.0
Kelheim,22451.0,446.0,35.0,122258.0,3648.023033257537,1065.14,43.37842104402166,23.82359785257373,39266.0,60290.0,22702.0,114.78115552885065,0.0,0.003648023033257537,2.0,30.0
Kiel,18810.0,281.0,10.0,247548.0,1135.1333882721735,118.65,42.512841953883694,23.656265530758446,88547.0,113032.0,45969.0,2086.3716814159293,0.0,0.0011351333882721735,3.0,27.0
Kitzingen,23748.0,191.0,3.0,90909.0,2101.002101002101,684.14,44.937057937057936,24.051904566890077,27383.0,44767.0,18759.0,132.88069693337619,0.0,0.002101002101002101,1.0,27.0
Kleve,19947.0,786.0,37.0,310974.0,2527.5424955140948,1232.99,44.812744795384816,24.10398498447228,95527.0,151173.0,64274.0,252.21129125134837,0.0,0.0025275424955140944,4.0,28.0
Koblenz,21029.0,265.0,18.0,114024.0,2324.0721251666323,105.25,44.309925980495336,24.43920938775691,37952.0,51438.0,24634.0,1083.3634204275534,0.0,0.0023240721251666318,2.0,22.0
Konstanz,23617.0,468.0,16.0,285325.0,1640.2348199421713,817.98,44.26095855603259,24.454715670836073,93780.0,132071.0,59474.0,348.8165969828113,0.0,0.0016402348199421712,7.0,28.0
Krefeld,21115.0,645.0,22.0,227020.0,2841.1593692185706,137.77,45.22972645581886,24.535941154529397,69442.0,107846.0,49732.0,1647.8188284822531,0.0,0.002841159369218571,8.0,28.0
Kronach,22102.0,167.0,3.0,67135.0,2487.525135920161,651.49,47.91523050569747,24.062613229452484,17422.0,33484.0,16229.0,103.04839675206064,0.0,0.002487525135920161,2.0,30.0
Kulmbach,22462.0,244.0,11.0,71845.0,3396.200153107384,658.34,47.47928178718074,24.122908571470585,19222.0,35328.0,17295.0,109.13054045022328,0.0,0.003396200153107384,1.0,29.0
Kusel,20564.0,90.0,1.0,70526.0,1276.1251169781356,573.6,47.24485296202819,24.40063301220766,19308.0,34328.0,16890.0,122.95327754532777,0.0,0.0012761251169781356,1.0,29.0
Kyffhäuserkreis,17708.0,50.0,0.0,75009.0,666.5866762655147,1037.89,49.50723913130425,24.440941289198,17182.0,37361.0,20466.0,72.27066452128838,1.0,0.0006665866762655148,2.0,27.0
Köln,21608.0,2564.0,102.0,1085664.0,2361.6883308279544,405.02,42.23973393241371,23.3513449248811,362084.0,535210.0,188370.0,2680.519480519481,0.0,0.0023616883308279542,15.0,20.0
Lahn-Dill-Kreis,22884.0,344.0,18.0,253777.0,1355.5207918763326,1066.3,45.4896129278855,24.48417221143337,76182.0,121549.0,56046.0,237.99774922629655,0.0,0.0013555207918763323,4.0,26.0
Landshut,23236.522712914644,952.0,40.0,231102.0,4119.393168384523,1413.4,43.7636476534171,23.855777733273808,72653.0,114119.0,44330.0,163.50785340314138,0.0,0.004119393168384523,3.0,29.0
Leer,18614.0,147.0,5.0,169809.0,865.678497606134,1085.72,44.72901318540242,24.332170508871943,52757.0,80854.0,36198.0,156.40220314629926,0.0,0.000865678497606134,3.0,32.0
Leipzig,18583.263267188573,802.0,16.0,845620.0,948.4165464392987,1949.12,44.7079923606348,24.716991715146012,256499.0,400818.0,188303.0,433.8470694467247,1.0,0.000948416546439299,14.0,28.0
Leverkusen,20884.0,249.0,5.0,163838.0,1519.7939427971532,78.87,45.10762460479254,24.726897656975087,49945.0,78387.0,35506.0,2077.317104095346,0.0,0.0015197939427971532,5.0,29.0
Lichtenfels,21156.0,296.0,16.0,66838.0,4428.618450582005,519.94,46.4441634998055,24.235428084076915,18872.0,32881.0,15085.0,128.54944801323228,0.0,0.0044286184505820045,1.0,30.0
Limburg-Weilburg,21348.000000000004,292.0,6.0,172083.0,1696.8555871294666,738.44,45.310940069617565,24.255965990849987,51547.0,83626.0,36910.0,233.03585937923188,0.0,0.0016968555871294665,3.0,31.0
Lippe,22239.0,755.0,29.0,348391.0,2167.1053500233934,1246.22,45.239696203403646,25.026848988949226,108923.0,161220.0,78248.0,279.5581839482595,0.0,0.0021671053500233934,4.0,25.0
Ludwigsburg,25231.0,1791.0,72.0,543984.0,3292.3762463601865,686.77,43.82454447189623,24.26976735619037,171179.0,265235.0,107570.0,792.0905106513098,0.0,0.003292376246360187,7.0,22.0
Ludwigslust-Parchim,19149.0,89.0,2.0,212618.0,418.591088242764,4766.78,47.9021625638469,24.14034538913139,51166.0,111059.0,50393.0,44.6041143077717,1.0,0.000418591088242764,10.0,34.0
Lörrach,25461.0,667.0,61.0,228639.0,2917.2625842485313,806.71,44.434868941869055,24.376075862560874,70876.0,111361.0,46402.0,283.42155173482416,0.0,0.0029172625842485314,3.0,28.0
Lübeck,19575.0,166.0,1.0,217198.0,764.2795974180242,214.21,45.75469847788654,24.629662885110964,65956.0,100844.0,50398.0,1013.9489286214463,0.0,0.0007642795974180241,7.0,28.0
Lüchow-Dannenberg,19529.0,21.0,3.0,48424.0,433.66925491491827,1227.22,49.000526598380965,24.963037782684694,12499.0,22469.0,13456.0,39.45828783755154,0.0,0.00043366925491491825,1.0,36.0
Lüneburg,20583.000000000004,168.0,0.0,183372.0,916.1704076958313,1327.67,44.12555624631896,24.160688292034692,58030.0,88565.0,36777.0,138.11564620726534,0.0,0.0009161704076958314,3.0,30.0
Magdeburg,18206.0,216.0,2.0,238697.0,904.912923078212,201.01,45.68946823797534,25.023869420794316,73133.0,107677.0,57887.0,1187.4881846674296,1.0,0.0009049129230782121,4.0,28.0
Main-Kinzig-Kreis,22932.0,767.0,47.0,418950.0,1830.7673946771688,1397.32,45.12428810120539,24.307351214908586,125298.0,203459.0,90193.0,299.8239487018006,0.0,0.001830767394677169,10.0,28.0
Main-Spessart,22524.0,157.0,6.0,126365.0,1242.4326356190402,1321.19,46.568037035571564,24.26190204425659,35503.0,61958.0,28904.0,95.64483533783935,0.0,0.0012424326356190402,2.0,29.0
Main-Tauber-Kreis,22232.0,398.0,10.0,132321.0,3007.8370024410333,1304.13,45.78676854014102,24.485943394502982,39206.0,63299.0,29816.0,101.46304432840284,0.0,0.0030078370024410337,6.0,22.0
Main-Taunus-Kreis,26641.0,356.0,14.0,237735.0,1497.4656655519802,222.53,44.69442656739647,24.549459195904365,71248.0,116185.0,50302.0,1068.3278659057203,0.0,0.0014974656655519802,3.0,28.0
Mainz,21515.0,675.0,26.0,217118.0,3108.908519791081,97.73,41.81665960445472,23.34033218580345,78359.0,100729.0,38030.0,2221.61055970531,0.0,0.0031089085197910813,3.0,27.0
Mainz-Bingen,25408.0,434.0,25.0,210889.0,2057.9546586118763,605.36,45.02684113443564,24.131552779985558,62226.0,105037.0,43626.0,348.36956521739125,0.0,0.0020579546586118763,5.0,29.0
Mannheim,20592.0,495.0,13.0,309370.0,1600.025859003782,144.97,42.72491838251931,23.612570853093608,105159.0,147242.0,56969.0,2134.0277298751466,0.0,0.0016000258590037819,4.0,21.0
Mansfeld-Südharz,18203.0,54.0,2.0,136249.0,396.333184096764,1448.85,50.857169593905276,24.486391169998146,29143.0,66996.0,40110.0,94.03941056700144,1.0,0.000396333184096764,3.0,34.0
Marburg-Biedenkopf,20485.0,202.0,4.0,246648.0,818.9808958515781,1262.37,43.49936954688463,24.057878232031673,84843.0,113368.0,48437.0,195.38487131348182,0.0,0.000818980895851578,5.0,26.0
Mayen-Koblenz,21895.0,348.0,14.0,214259.0,1624.2024839096607,817.73,45.637128428677435,24.336076223702324,62715.0,104596.0,46948.0,262.01680261210913,0.0,0.0016242024839096608,5.0,29.0
Mecklenburgische Seenplatte,18062.0,125.0,3.0,259130.0,482.3833597036237,5495.63,48.80533323042489,24.482812636085576,61472.0,131000.0,66658.0,47.152009869660084,1.0,0.0004823833597036237,4.0,26.0
Meißen,20022.000000000004,240.0,20.0,242165.0,991.0598145892263,1454.59,49.02173930997461,25.14279581302382,57475.0,118281.0,66409.0,166.48333894774473,1.0,0.0009910598145892264,4.0,28.0
Memmingen,26941.0,51.0,0.0,43837.0,1163.400780162876,70.11,44.82770262563588,24.546614770441288,13633.0,20735.0,9469.0,625.2603052346312,0.0,0.0011634007801628761,1.0,30.0
Merzig-Wadern,19067.0,216.0,2.0,103366.0,2089.6619778263653,556.66,46.78167869512218,24.093251526166352,28389.0,51539.0,23438.0,185.68964897783212,0.0,0.0020896619778263646,2.0,29.0
Mettmann,25021.0,978.0,79.0,485684.0,2013.654969074542,407.22,46.539642030620726,24.895905477255894,138159.0,231876.0,115649.0,1192.6820883060752,0.0,0.002013654969074542,5.0,27.0
Miesbach,28017.0,586.0,11.0,99726.0,5876.10051541223,866.22,45.75802198022582,24.580242585993012,29225.0,47949.0,22552.0,115.12779663364964,0.0,0.00587610051541223,1.0,22.0
Miltenberg,22544.0,304.0,5.0,128756.0,2361.0550187952404,715.58,45.380553139271186,24.19109592468009,38121.0,63237.0,27398.0,179.932362559043,0.0,0.0023610550187952405,4.0,31.0
Minden-Lübbecke,22262.0,489.0,12.0,310710.0,1573.8148112387757,1152.41,45.27682082971259,24.800447167925388,95873.0,146536.0,68301.0,269.6175840195763,0.0,0.0015738148112387758,4.0,24.0
Mittelsachsen,19433.0,284.0,9.0,306185.0,927.543805215801,2116.85,49.183718993419006,25.00164917330559,73687.0,146661.0,85837.0,144.64180267850816,1.0,0.0009275438052158009,4.0,30.0
Märkisch-Oderland,19407.0,240.0,4.0,194328.0,1235.0253180190193,2158.65,48.03069809806101,24.318646016852103,45848.0,102097.0,46383.0,90.02293099854073,1.0,0.0012350253180190194,3.0,27.0
Märkischer Kreis,24137.0,609.0,31.0,412120.0,1477.7249344851016,1061.06,45.6145042706008,24.556054948572182,123415.0,197908.0,90797.0,388.4040487814073,0.0,0.0014777249344851014,5.0,23.0
Mönchengladbach,20656.0,660.0,41.0,261454.0,2524.344626588233,170.47,44.59321525010136,24.28913193244649,81881.0,125050.0,54523.0,1533.7244089869187,0.0,0.0025243446265882335,3.0,21.0
München,29724.479375448736,8034.0,299.0,1820379.0,4413.366667051202,974.97,42.452478302595225,23.587909103156772,595201.0,894566.0,330612.0,1867.1128342410532,0.0,0.004413366667051202,19.0,22.0
Münster,22261.0,733.0,13.0,314319.0,2332.0257445461457,303.28,41.64522030166805,23.43115824465048,117391.0,143180.0,53748.0,1036.3987074650486,0.0,0.002332025744546146,4.0,22.0
Neckar-Odenwald-Kreis,21775.0,441.0,21.0,143535.0,3072.4213606437456,1125.94,45.46208590239314,24.30221498825345,43106.0,69484.0,30945.0,127.48014991917864,0.0,0.0030724213606437454,2.0,21.0
Neu-Ulm,23442.0,430.0,26.0,174200.0,2468.427095292767,515.84,44.10514064293915,24.203722641458985,54761.0,84254.0,35185.0,337.70161290322585,0.0,0.0024684270952927668,2.0,22.0
Neuburg-Schrobenhausen,22558.000000000004,334.0,18.0,96680.0,3454.6959040132397,739.72,43.66666839056682,24.03104560057888,30544.0,47744.0,18392.0,130.69810198453467,0.0,0.0034546959040132395,1.0,31.0
Neumünster,18922.0,78.0,2.0,79487.0,981.2925384025059,71.63,45.2811088605684,24.71372686603348,24763.0,36772.0,17952.0,1109.6886779282424,0.0,0.000981292538402506,1.0,33.0
Neunkirchen,20134.0,271.0,10.0,132206.0,2049.8313238430933,249.8,47.56300394838358,24.377229051705054,35544.0,64433.0,32229.0,529.2473979183346,0.0,0.002049831323843093,2.0,27.0
Neuwied,22672.0,215.0,4.0,181941.0,1181.7017604608088,627.06,45.666237956260545,24.599938863770625,54517.0,86900.0,40524.0,290.1492680126304,0.0,0.0011817017604608088,2.0,26.0
Nordfriesland,24384.0,89.0,1.0,165507.0,537.7416060952105,2083.01,46.67672968514927,24.62152732818436,47942.0,77552.0,40013.0,79.45569152332442,0.0,0.0005377416060952105,9.0,34.0
Nordhausen,17910.999999999996,65.0,2.0,83822.0,775.4527451027176,713.91,48.316844026627855,24.839479857372613,21293.0,40442.0,22087.0,117.41255900603718,1.0,0.0007754527451027176,2.0,30.0
Nordsachsen,18980.0,142.0,0.0,197673.0,718.3580964522217,2028.56,48.50768187865819,24.624455236373617,46819.0,100216.0,50638.0,97.44498560555272,1.0,0.0007183580964522216,2.0,29.0
Nordwestmecklenburg,18475.0,79.0,1.0,156729.0,504.0547696980137,2127.12,47.207558907413436,24.284787281203002,39681.0,80206.0,36842.0,73.68131558163152,1.0,0.0005040547696980137,3.0,33.0
Northeim,21284.000000000004,139.0,5.0,132765.0,1046.9626784167515,1268.77,47.83454600233496,24.72232427486879,36152.0,62938.0,33675.0,104.64071502321146,0.0,0.0010469626784167514,3.0,28.0
Nürnberg,21785.0,1101.0,49.0,518365.0,2123.9859944247783,186.45,43.654447155961535,24.08167928189104,166920.0,247392.0,104053.0,2780.1823545186376,0.0,0.002123985994424778,11.0,26.0
Nürnberger Land,24993.000000000004,631.0,44.0,170365.0,3703.812402782261,799.52,45.84763008833974,24.382791360235238,48843.0,83607.0,37915.0,213.08410046027615,0.0,0.0037038124027822614,2.0,30.0
Oberallgäu,23482.0,186.0,7.0,155362.0,1197.2039494857172,1527.99,45.8231324262046,24.538911881035638,45583.0,74573.0,35206.0,101.67736699847514,0.0,0.0011972039494857172,4.0,26.0
Oberbergischer Kreis,22691.0,490.0,18.0,272471.0,1798.356522345497,918.85,45.032335551306375,24.628429129935235,84008.0,130496.0,57967.0,296.53479893344934,0.0,0.0017983565223454972,4.0,22.0
Oberhausen,18181.0,273.0,10.0,210829.0,1294.8882743835052,77.09,45.4303795967348,24.310833595759693,62648.0,102159.0,46022.0,2734.84239200934,0.0,0.0012948882743835052,8.0,29.0
Oberhavel,20718.000000000004,320.0,9.0,211249.0,1514.8000700595032,1808.18,47.02618947308626,24.35764902053081,53872.0,109103.0,48274.0,116.829629793494,1.0,0.0015148000700595033,4.0,30.0
Oberspreewald-Lausitz,18699.0,52.0,2.0,110476.0,470.6904667077012,1223.09,50.340236793511714,24.73072974301797,24239.0,54609.0,31628.0,90.32532356572287,1.0,0.0004706904667077012,2.0,27.0
Odenwaldkreis,21418.000000000004,409.0,61.0,96798.0,4225.29391103122,623.97,46.56642699229322,24.465304530952878,27604.0,46371.0,22823.0,155.132458291264,0.0,0.00422529391103122,2.0,31.0
Oder-Spree,19188.0,140.0,2.0,178658.0,783.6201009750473,2256.75,49.0816056375869,24.67372509341865,41494.0,89986.0,47178.0,79.16605738340535,1.0,0.0007836201009750473,2.0,28.0
Offenbach,23449.0,666.0,40.0,354092.0,1880.867119279735,356.24,44.611431492380504,24.433861697409505,107799.0,171276.0,75017.0,993.9703570626544,0.0,0.0018808671192797352,4.0,26.0
Oldenburg,22019.29545129793,227.0,15.0,130144.0,1744.221785099582,1064.84,45.30006761740841,24.323360034520768,38733.0,63731.0,27680.0,122.21930055219565,0.0,0.001744221785099582,2.0,26.0
Olpe,27132.0,648.0,56.0,134775.0,4808.013355592654,712.14,44.612710072342786,24.181837907155746,41589.0,66049.0,27137.0,189.25351756677054,0.0,0.004808013355592654,9.0,35.0
Ortenaukreis,22800.0,1208.0,125.0,429479.0,2812.7102838555547,1850.34,44.67777120650835,24.416524435969944,133230.0,206836.0,89413.0,232.1081530961877,0.0,0.0028127102838555553,11.0,23.0
Osnabrück,21456.610914572364,1719.0,76.0,522091.0,3292.5294632544897,2241.61,43.94140580856594,24.319695085185966,171816.0,245758.0,104517.0,232.9089359879729,0.0,0.00329252946325449,9.0,26.0
Ostalbkreis,23888.0,1403.0,37.0,314002.0,4468.124406850912,1511.37,44.387761861389414,24.3573322271339,99685.0,149701.0,64616.0,207.75984702620804,0.0,0.004468124406850912,4.0,21.0
Ostallgäu,23281.0,503.0,39.0,140316.0,3584.7658143048548,1394.45,44.59886613073349,24.458695612286572,43621.0,67079.0,29616.0,100.6246190254222,0.0,0.0035847658143048546,2.0,18.0
Osterholz,21846.0,117.0,0.0,113517.0,1030.6826290335366,652.67,46.483949540597436,24.579812445563498,31847.0,55112.0,26558.0,173.9270994530161,0.0,0.0010306826290335368,6.0,27.0
Ostholstein,22569.000000000004,68.0,0.0,200581.0,339.0151609574187,1392.59,49.048374472158386,24.68980365671424,50786.0,94622.0,55173.0,144.03449687273354,0.0,0.0003390151609574187,3.0,32.0
Ostprignitz-Ruppin,17924.0,82.0,0.0,99078.0,827.6307555663216,2526.57,48.8330154020065,24.368040848156692,23142.0,50802.0,25134.0,39.21442904807704,1.0,0.0008276307555663215,5.0,35.0
Paderborn,20913.0,682.0,34.0,306890.0,2222.294633256216,1246.8,42.64966274560918,23.91966828997961,105172.0,146465.0,55253.0,246.1421238370228,0.0,0.002222294633256216,4.0,28.0
Passau,21056.73197225494,718.0,48.0,244512.0,2936.461196178511,1599.6699999999996,45.39761647690093,24.10423672423288,74392.0,116638.0,53482.0,152.85152562716058,0.0,0.0029364611961785105,3.0,23.0
Peine,21203.000000000004,160.0,11.0,133965.0,1194.3418056955175,536.5,45.1931623931624,24.54282394953763,39915.0,65410.0,28640.0,249.7017707362535,0.0,0.0011943418056955175,2.0,30.0
