,MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5,mfc10_residual
487,0.0157,0.0375,0.058,0.0382,0.0332,0.0158,0.0311,0.0588,0.0389,0.0179,0.0218
681,0.0112,0.0156,0.017,0.0349,0.1114,0.0111,0.0134,0.0144,0.0333,0.1159,0.0161
301,0.0453,0.0329,0.0162,0.0037,0.0254,0.1581,0.0404,0.0146,0.0,0.0,0.0238
435,0.0088,0.0133,0.015,0.0439,0.1938,0.0,0.0107,0.0122,0.0268,0.0523,0.0218
725,0.0,0.0121,0.0187,0.0596,0.1322,0.0,0.0096,0.0147,0.0361,0.0625,0.0161
769,0.0131,0.022,0.0282,0.0244,0.0287,0.013,0.0243,0.0866,0.057,0.0196,0.0152
491,0.0383,0.0344,0.0192,0.0112,0.0253,0.1235,0.0549,0.0194,0.0115,0.0,0.0218
805,0.0087,0.0132,0.0199,0.0566,0.1268,0.0,0.0121,0.0161,0.0397,0.0751,0.0152
709,0.01,0.0156,0.0195,0.0551,0.1728,0.009,0.0129,0.0151,0.0291,0.0463,0.0161
469,0.0088,0.0171,0.0302,0.1438,0.0708,0.0089,0.0127,0.0209,0.038,0.0373,0.0218
481,0.0134,0.0369,0.0918,0.0473,0.0353,0.0119,0.0218,0.0347,0.0302,0.0172,0.0218
723,0.0101,0.015,0.0197,0.0529,0.1094,0.0092,0.0123,0.0164,0.0407,0.0747,0.0161
19,0.0172,0.037,0.1072,0.0693,0.0455,0.0152,0.0246,0.03555,0.0355,0.0222,0.0255
145,0.0444,0.0673,0.0411,0.0188,0.0301,0.0439,0.0608,0.0378,0.0192,0.0109,0.0238
335,0.0117,0.0236,0.0529,0.1116,0.0502,0.0099,0.0146,0.0282,0.0378,0.0267,0.0238
795,0.0581,0.1311,0.0368,0.0138,0.0215,0.0344,0.035,0.0347,0.0137,0.0,0.0152
295,0.0167,0.0436,0.1276,0.0373,0.0346,0.0131,0.0224,0.0286,0.0233,0.0147,0.0238
115,0.0155,0.0266,0.033,0.0288,0.0366,0.0158,0.0335,0.1324,0.0394,0.0184,0.0238
385,0.0343,0.0786,0.0586,0.0229,0.0297,0.0267,0.042,0.0388,0.0204,0.017,0.0238
125,0.0137,0.0246,0.0515,0.1467,0.05,0.0099,0.018,0.0274,0.0361,0.0284,0.0238
80,0.0,0.0117,0.0169,0.0466,0.1495,0.0,0.0095,0.0151,0.0391,0.0984,0.0238
101,0.0,0.0151,0.0264,0.1177,0.0943,0.0,0.0121,0.0207,0.0419,0.049,0.0238
229,0.0217,0.047,0.0655,0.0367,0.0351,0.0199,0.0367,0.0543,0.0338,0.0172,0.0238
427,0.0211,0.0419,0.0617,0.0485,0.0415,0.0204,0.04,0.0907,0.0573,0.0253,0.0218
737,0.0366,0.0314,0.0199,0.012,0.0215,0.1522,0.0584,0.0195,0.0115,0.0,0.0161
353,0.0,0.0112,0.0129,0.0403,0.2042,0.0,0.0,0.0109,0.0235,0.0436,0.0238
639,0.0402,0.0389,0.0215,0.0111,0.0207,0.1045,0.0852,0.0241,0.0115,0.0,0.0167
199,0.0198,0.0392,0.046,0.032,0.0344,0.0193,0.0391,0.0694,0.0348,0.0168,0.0238
201,0.0,0.0105,0.0094,0.0217,0.0682,0.0,0.0,0.0062,0.0264,0.2085,0.0238
195,0.0,0.0109,0.0125,0.0309,0.1993,0.0,0.008,0.0091,0.0236,0.0642,0.0238
46,0.0,0.0126,0.0195,0.055,0.0986,0.0,0.0,0.0171,0.0556,0.0871,0.0238
38,0.0118,0.0273,0.0657,0.0718,0.0484,0.0,0.0169,0.0356,0.0408,0.0252,0.0238
205,0.0989,0.052,0.0214,0.0119,0.0264,0.084,0.0431,0.0193,0.0111,0.0,0.0238
197,0.0122,0.0336,0.1847,0.0279,0.0314,0.009,0.0158,0.0193,0.0174,0.0118,0.0238
72,0.0111,0.0198,0.0353,0.0819,0.0741,0.0105,0.0164,0.033,0.0691,0.055,0.0238
58,0.0,0.0129,0.0188,0.0474,0.0881,0.0,0.0084,0.0179,0.0635,0.1002,0.0238
429,0.0479,0.0491,0.0272,0.0145,0.0282,0.076,0.08,0.0303,0.0145,0.0092,0.0218
749,0.0116,0.0214,0.0418,0.1556,0.0531,0.0101,0.0167,0.0255,0.0386,0.0323,0.0152
499,0.0,0.023,0.0323,0.0268,0.0303,0.0087,0.0282,0.1111,0.0465,0.0139,0.0218
697,0.067,0.083,0.033,0.0128,0.0197,0.0456,0.0438,0.0239,0.012,0.0,0.0161
841,0.0489,0.1383,0.0371,0.0135,0.0205,0.03,0.0318,0.0204,0.0127,0.0,0.0152
103,0.0116,0.0217,0.0343,0.0447,0.0486,0.0107,0.0209,0.0635,0.0981,0.036,0.0238
659,0.0185,0.0384,0.0637,0.0515,0.0366,0.0176,0.0353,0.0742,0.056,0.025,0.0161
379,0.0966,0.0773,0.0275,0.0121,0.0255,0.0492,0.0401,0.022,0.0117,0.0,0.0238
357,0.0329,0.0278,0.0134,0.0,0.0254,0.1836,0.0453,0.0147,0.0,0.0,0.0238
191,0.0404,0.1131,0.057,0.0207,0.0296,0.0295,0.0365,0.0292,0.0172,0.0102,0.0238
263,0.0097,0.0136,0.0143,0.0285,0.0996,0.0095,0.0116,0.0121,0.0301,0.165,0.0238
327,0.0277,0.0533,0.0492,0.0257,0.0303,0.0271,0.0519,0.0572,0.0261,0.0124,0.0238
329,0.0649,0.068,0.0296,0.0142,0.0271,0.0607,0.0557,0.0278,0.0136,0.0,0.0238
341,0.0,0.012,0.0155,0.0341,0.0619,0.0,0.0,0.0189,0.0897,0.1,0.0238
173,0.0314,0.0533,0.0443,0.0226,0.0302,0.0332,0.0612,0.0528,0.0225,0.0118,0.0238
76,0.0501,0.0462,0.0273,0.0167,0.0309,0.15,0.095,0.031,0.0169,0.0122,0.0238
521,0.0,0.0134,0.0192,0.0451,0.0886,0.0,0.011,0.0163,0.0571,0.128,0.0173
305,0.0105,0.0164,0.0224,0.0688,0.1282,0.0091,0.0127,0.0192,0.0513,0.094,0.0238
719,0.009,0.0152,0.0225,0.0807,0.113,0.0,0.0123,0.0172,0.0356,0.0483,0.0161
671,0.0351,0.1024,0.06,0.0197,0.0229,0.0267,0.0354,0.0287,0.0165,0.0088,0.0161
453,0.1435,0.0482,0.0208,0.0117,0.0276,0.0491,0.0324,0.0169,0.0114,0.0,0.0218
403,0.0094,0.0146,0.0182,0.0499,0.0993,0.0,0.0117,0.0181,0.0522,0.093,0.0238
407,0.0342,0.0966,0.0659,0.0213,0.0311,0.0253,0.0347,0.0316,0.0192,0.0115,0.0238
541,0.0287,0.0465,0.044,0.0258,0.0271,0.0333,0.0775,0.0859,0.0298,0.0142,0.0167
705,0.0518,0.0386,0.0212,0.0111,0.0195,0.165,0.0479,0.0191,0.0106,0.0,0.0161
311,0.0439,0.0696,0.0394,0.018,0.0293,0.0406,0.054,0.0344,0.0155,0.0097,0.0238
683,0.0133,0.0174,0.0177,0.035,0.1683,0.0132,0.0147,0.0145,0.0287,0.0855,0.0161
590,0.0154,0.0327,0.1026,0.0727,0.0353,0.0141,0.0216,0.0288,0.0308,0.0196,0.0167
36,0.0653,0.1279,0.0308,0.0129,0.0305,0.0301,0.0284,0.0191,0.0117,0.0,0.0238
60,0.1015,0.0755,0.0258,0.0119,0.0306,0.0416,0.0329,0.0184,0.0111,0.0,0.0238
303,0.0507,0.0419,0.0214,0.0115,0.0259,0.1162,0.0592,0.021,0.0106,0.0,0.0238
135,0.0184,0.0424,0.0929,0.0532,0.0414,0.0153,0.0277,0.044,0.0378,0.0222,0.0238
347,0.0305,0.0339,0.0203,0.0122,0.0271,0.0577,0.1513,0.0272,0.0125,0.0,0.0238
439,0.0136,0.0259,0.0341,0.0292,0.0359,0.0128,0.029,0.1048,0.0538,0.0205,0.0218
309,0.0116,0.0243,0.0391,0.044,0.0427,0.0101,0.0227,0.0635,0.0648,0.0272,0.0238
119,0.015,0.0304,0.0795,0.0854,0.0497,0.0137,0.0213,0.0345,0.0383,0.0269,0.0238
367,0.0323,0.0422,0.0278,0.0151,0.0269,0.0444,0.1055,0.0434,0.0164,0.0,0.0238
50,0.0,0.0126,0.0224,0.0676,0.0932,0.0,0.0,0.0195,0.0581,0.0713,0.0238
15,0.0406,0.0585,0.0404,0.0218,0.0341,0.0478,0.0872,0.0502,0.0223,0.0124,0.0255
193,0.0376,0.0897,0.0587,0.0227,0.0306,0.0303,0.0407,0.0342,0.0192,0.0112,0.0238
584,0.033,0.059,0.0484,0.0228,0.0251,0.0341,0.0605,0.0499,0.023,0.0115,0.0167
147,0.0136,0.0281,0.0537,0.0663,0.0509,0.012,0.0225,0.0458,0.0584,0.0325,0.0238
66,0.0479,0.0369,0.0216,0.0149,0.0315,0.151,0.0429,0.0206,0.0145,0.0127,0.0238
471,0.0,0.0179,0.033,0.0679,0.0597,0.0,0.0141,0.0334,0.0711,0.0456,0.0218
493,0.0,0.0114,0.0108,0.0168,0.0512,0.0,0.0095,0.0089,0.0223,0.215,0.0218
423,0.0546,0.0531,0.0277,0.0138,0.0268,0.0809,0.0723,0.0292,0.014,0.0,0.0218
8,0.0235,0.0437,0.1338,0.0626,0.0442,0.0223,0.0292,0.0363,0.0341,0.0222,0.0255
319,0.0097,0.0234,0.0618,0.104,0.0454,0.0,0.0158,0.0274,0.0346,0.0239,0.0238
241,0.0377,0.1798,0.0781,0.023,0.0299,0.0272,0.0345,0.0294,0.0185,0.0109,0.0238
699,0.0113,0.0153,0.0153,0.0235,0.0587,0.0113,0.0132,0.013,0.0294,0.2006,0.0161
669,0.0162,0.0379,0.0841,0.0656,0.0375,0.0144,0.028,0.0495,0.0452,0.0237,0.0161
223,0.1194,0.084,0.0367,0.0172,0.0284,0.1351,0.0806,0.0341,0.0167,0.0097,0.0238
42,0.0,0.0117,0.0147,0.037,0.1111,0.0,0.0,0.0128,0.0386,0.1256,0.0238
34,0.01,0.0168,0.0255,0.1135,0.1317,0.0,0.0107,0.0194,0.0423,0.0598,0.0238
185,0.097,0.0565,0.0241,0.0118,0.0271,0.0694,0.0425,0.0194,0.018,0.0,0.0238
713,0.0426,0.0397,0.0237,0.0122,0.0193,0.1251,0.0825,0.0248,0.0122,0.0,0.0161
44,0.0163,0.0274,0.0274,0.0197,0.0339,0.0171,0.0458,0.1469,0.0262,0.0117,0.0238
207,0.0105,0.0235,0.0555,0.0926,0.0477,0.0002,0.0163,0.0295,0.0387,0.0241,0.0238
711,0.0327,0.035,0.0228,0.0133,0.0221,0.0693,0.1256,0.0276,0.0133,0.0,0.0161
227,0.0299,0.0419,0.0298,0.0161,0.0269,0.0386,0.0871,0.0438,0.0174,0.0089,0.0238
405,0.0229,0.0639,0.0942,0.0281,0.0331,0.017,0.0282,0.0329,0.0224,0.0132,0.0238
235,0.0125,0.0341,0.0629,0.0555,0.0427,0.0138,0.0272,0.0542,0.0493,0.025,0.0238
763,0.0954,0.0854,0.0254,0.0,0.0177,0.0359,0.0309,0.0166,0.0087,0.0,0.0152
586,0.0959,0.0822,0.036,0.016,0.0231,0.0817,0.0641,0.0297,0.0155,0.0088,0.0167
62,0.0109,0.0202,0.0305,0.0383,0.0476,0.0088,0.0177,0.0616,0.0977,0.0314,0.0238
791,0.0277,0.0397,0.0327,0.0165,0.023,0.0355,0.1025,0.0607,0.0204,0.0103,0.0152
457,0.0425,0.0442,0.0251,0.0125,0.0252,0.0836,0.0928,0.0299,0.0133,0.0,0.0218
141,0.0124,0.0261,0.0586,0.0891,0.0527,0.0103,0.0193,0.0355,0.0467,0.0312,0.0238
535,0.0268,0.0553,0.0655,0.0323,0.0277,0.0256,0.0446,0.054,0.0302,0.0146,0.0167
397,0.0,0.0107,0.0143,0.0462,0.1187,0.0,0.0,0.0136,0.0412,0.0949,0.0238
209,0.0124,0.0272,0.0753,0.0993,0.0459,0.0104,0.018,0.029,0.0351,0.0222,0.0238
580,0.0492,0.0956,0.0537,0.0208,0.0233,0.0418,0.0541,0.0379,0.0194,0.0097,0.0167
137,0.0878,0.103,0.0298,0.0133,0.0292,0.0362,0.0329,0.0205,0.0136,0.0096,0.0238
411,0.0128,0.0238,0.0534,0.1142,0.0479,0.0105,0.0168,0.0266,0.0343,0.0233,0.0238
525,0.0301,0.0379,0.0262,0.0133,0.0216,0.048,0.1271,0.0357,0.0145,0.0,0.0173
85,0.0562,0.04,0.0212,0.0126,0.0289,0.1369,0.0457,0.0201,0.0126,0.0094,0.0238
649,0.0256,0.0437,0.0417,0.0235,0.0239,0.0288,0.0651,0.0724,0.0269,0.0121,0.0161
479,0.0,0.0029,0.0116,0.031,0.1153,0.0,0.0,0.0098,0.0317,0.1352,0.0218
401,0.042,0.0324,0.0167,0.0102,0.0297,0.1696,0.0388,0.0168,0.0115,0.0091,0.0238
825,0.0123,0.0219,0.0272,0.0198,0.0254,0.0112,0.0344,0.1488,0.0308,0.0138,0.0152
605,0.0,0.014,0.0179,0.0362,0.0647,0.0,0.0116,0.0168,0.0629,0.1218,0.0167
593,0.0097,0.0147,0.0161,0.038,0.2062,0.0095,0.0121,0.0119,0.0277,0.0657,0.0167
637,0.0286,0.0434,0.0319,0.0163,0.0224,0.0375,0.094,0.0521,0.0185,0.0088,0.0167
515,0.0,0.016,0.0267,0.0717,0.1221,0.0,0.0133,0.0242,0.0816,0.1494,0.0173
13,0.0108,0.0204,0.0255,0.0275,0.0403,0.0094,0.0214,0.0795,0.0524,0.0214,0.0255
165,0.0106,0.0189,0.026,0.0339,0.0444,0.0098,0.0173,0.0469,0.1403,0.0337,0.0238
163,0.0483,0.0361,0.0189,0.0103,0.0268,0.1541,0.0424,0.0164,0.0111,0.0,0.0238
10,0.0351,0.0517,0.0381,0.0213,0.0331,0.0425,0.0892,0.0548,0.0226,0.012,0.0255
249,0.0611,0.0437,0.021,0.0112,0.0268,0.1194,0.0505,0.0197,0.011,0.0,0.0238
159,0.0,0.0137,0.0219,0.0591,0.092,0.0,0.0108,0.0191,0.0603,0.0815,0.0238
789,0.0223,0.0342,0.0302,0.0158,0.0231,0.0285,0.1052,0.0725,0.0208,0.0102,0.0152
629,0.0454,0.0357,0.0179,0.0092,0.0197,0.2084,0.0487,0.0172,0.0096,0.0,0.0167
4,0.0187,0.037,0.0554,0.0622,0.0574,0.0187,0.0404,0.1504,0.1399,0.0459,0.0255
277,0.0,0.0117,0.0129,0.0256,0.0884,0.0,0.0097,0.0098,0.0287,0.1759,0.0238
751,0.0,0.0148,0.0249,0.1136,0.1165,0.0,0.0119,0.0182,0.0379,0.0522,0.0152
835,0.0762,0.0448,0.0212,0.0,0.0184,0.109,0.0468,0.0175,0.0091,0.0,0.0152
413,0.0098,0.0194,0.0327,0.0602,0.0568,0.0,0.0163,0.0374,0.0764,0.0425,0.0238
391,0.0125,0.0316,0.1525,0.0435,0.0355,0.0,0.017,0.0242,0.0152,0.0,0.0238
359,0.0291,0.0427,0.0323,0.0184,0.0279,0.035,0.0896,0.0605,0.0207,0.0096,0.0238
667,0.0,0.0117,0.0147,0.0322,0.1105,0.0,0.0096,0.0121,0.0333,0.1619,0.0161
745,0.0157,0.0348,0.0708,0.0577,0.0343,0.0136,0.0273,0.0498,0.0443,0.0227,0.0152
513,0.0111,0.0184,0.0277,0.0872,0.1104,0.0105,0.015,0.0215,0.0534,0.0725,0.0173
281,0.0,0.0016,0.0114,0.0276,0.1033,0.0,0.0,0.0,0.0288,0.142,0.0238
17,0.0332,0.101,0.0821,0.0262,0.0342,0.0262,0.0361,0.0326,0.0213,0.0124,0.0255
785,0.0136,0.0248,0.0356,0.0346,0.0337,0.0123,0.0253,0.0757,0.0747,0.0255,0.0152
181,0.0209,0.0513,0.0896,0.0388,0.0364,0.0177,0.0301,0.0399,0.0289,0.0171,0.0238
283,0.0364,0.0369,0.0224,0.0128,0.0294,0.0814,0.109,0.0258,0.0128,0.0098,0.0238
517,0.0177,0.0329,0.0403,0.0292,0.0291,0.0182,0.0421,0.1017,0.04,0.0163,0.0173
475,0.0,0.0114,0.0131,0.0313,0.137,0.0,0.0,0.0103,0.0287,0.1093,0.0218
113,0.0,0.0122,0.018,0.0334,0.054,0.0,0.0107,0.0227,0.1377,0.059,0.0238
285,0.0159,0.0383,0.1065,0.0492,0.0371,0.0133,0.0228,0.0324,0.029,0.0174,0.0238
549,0.0314,0.0483,0.0391,0.0205,0.0246,0.038,0.0826,0.0572,0.0221,0.0104,0.0167
743,0.0103,0.0162,0.0209,0.0336,0.0428,0.0094,0.0144,0.0248,0.1353,0.0599,0.0152
729,0.0265,0.1649,0.0369,0.0128,0.0209,0.0129,0.02,0.0157,0.011,0.0,0.0161
78,0.0093,0.0144,0.0189,0.0386,0.0728,0.0005,0.0122,0.0204,0.074,0.1405,0.0238
255,0.0,0.0163,0.0365,0.1612,0.0476,0.0,0.0121,0.0184,0.0253,0.0224,0.0238
74,0.031,0.1031,0.0848,0.027,0.0338,0.0245,0.0319,0.0316,0.0222,0.0147,0.0238
441,0.0097,0.017,0.0266,0.0789,0.0842,0.0,0.0137,0.0235,0.0556,0.0601,0.0218
817,0.0133,0.0288,0.0966,0.0698,0.0333,0.0103,0.0199,0.029,0.0301,0.019,0.0152
99,0.1048,0.0643,0.0275,0.0148,0.0282,0.0555,0.0404,0.0226,0.0143,0.0098,0.0238
615,0.0152,0.0358,0.0839,0.0617,0.0348,0.0138,0.0252,0.0396,0.0383,0.0211,0.0167
578,0.1344,0.065,0.0244,0.0118,0.0224,0.0435,0.0334,0.0177,0.0113,0.0,0.0167
317,0.0625,0.0789,0.0387,0.0181,0.0272,0.0585,0.0628,0.0346,0.0168,0.0093,0.0238
421,0.0,0.0,0.0122,0.0452,0.1469,0.0,0.0,0.0101,0.0335,0.0786,0.0218
623,0.0184,0.0462,0.1657,0.0356,0.0272,0.0166,0.0246,0.0275,0.0226,0.0133,0.0167
417,0.0128,0.0257,0.0373,0.0387,0.0419,0.0108,0.0254,0.0777,0.0656,0.0257,0.0238
625,0.0206,0.0469,0.0689,0.0341,0.0279,0.0194,0.0346,0.0464,0.0298,0.0148,0.0167
431,0.0445,0.0549,0.0324,0.0161,0.0279,0.0575,0.0826,0.0376,0.0166,0.0092,0.0218
565,0.0636,0.043,0.0219,0.0111,0.0219,0.1278,0.0472,0.0191,0.0111,0.0,0.0167
529,0.0432,0.0527,0.0331,0.0152,0.0189,0.0621,0.0991,0.0395,0.0162,0.0,0.0167
839,0.0561,0.0422,0.0232,0.0113,0.0214,0.1212,0.0583,0.021,0.0118,0.0,0.0152
307,0.0,0.0107,0.014,0.0241,0.0427,0.0,0.0089,0.0178,0.1681,0.0404,0.0238
783,0.0195,0.039,0.0526,0.0316,0.0281,0.0189,0.0404,0.0748,0.0385,0.0166,0.0152
70,0.0138,0.0241,0.0339,0.0367,0.0434,0.0136,0.0252,0.0943,0.0701,0.028,0.0238
621,0.0249,0.0665,0.077,0.0274,0.0254,0.021,0.0354,0.0369,0.0227,0.012,0.0167
377,0.0307,0.0259,0.0143,0.009,0.0254,0.2111,0.0306,0.0135,0.0089,0.0,0.0238
275,0.0149,0.0368,0.0624,0.0399,0.0373,0.0124,0.029,0.0505,0.0356,0.0191,0.0238
733,0.0,0.0133,0.0222,0.0594,0.0888,0.0,0.0116,0.0195,0.0513,0.0746,0.0161
333,0.0166,0.0226,0.0156,0.0107,0.0273,0.0231,0.1934,0.0272,0.0115,0.0,0.0238
627,0.0608,0.0595,0.0286,0.0131,0.0214,0.0747,0.065,0.0272,0.0134,0.0,0.0167
6,0.109,0.1293,0.0684,0.0312,0.0367,0.1228,0.1433,0.0692,0.0306,0.0159,0.0255
799,0.0128,0.0219,0.0359,0.0458,0.0408,0.0121,0.0214,0.0502,0.0858,0.035,0.0152
467,0.0404,0.0404,0.0221,0.0106,0.0241,0.0848,0.0793,0.0253,0.0113,0.0,0.0218
107,0.0234,0.0389,0.0417,0.0287,0.0353,0.0255,0.056,0.0935,0.0344,0.0175,0.0238
217,0.0391,0.075,0.0479,0.0205,0.0285,0.0343,0.0483,0.0369,0.0193,0.0102,0.0238
95,0.0872,0.0718,0.0307,0.0155,0.0287,0.0565,0.0446,0.0251,0.015,0.0097,0.0238
325,0.0207,0.0516,0.1474,0.0327,0.032,0.0173,0.0248,0.0284,0.0218,0.0133,0.0238
169,0.068,0.0464,0.0229,0.0123,0.0289,0.1151,0.0491,0.0198,0.0115,0.0054,0.0238
211,0.1111,0.0546,0.0216,0.0115,0.0274,0.0559,0.0362,0.0178,0.0111,0.0,0.0238
393,0.0542,0.0604,0.0292,0.0142,0.0279,0.059,0.0628,0.0302,0.0143,0.0,0.0238
741,0.0496,0.0348,0.0161,0.0,0.0163,0.1527,0.0456,0.0147,0.0,0.0,0.0152
349,0.0669,0.0447,0.02,0.0105,0.0258,0.1169,0.0455,0.0194,0.0108,0.0,0.0238
543,0.0116,0.022,0.0366,0.0555,0.0468,0.0104,0.0197,0.0434,0.0839,0.039,0.0167
213,0.0,0.0166,0.0248,0.0468,0.0575,0.0,0.0143,0.0315,0.1164,0.0625,0.0238
289,0.0,0.0141,0.022,0.042,0.0614,0.0,0.0122,0.0274,0.1489,0.0774,0.0238
29,0.0037,0.0166,0.028,0.1101,0.0728,0.0,0.0135,0.0206,0.039,0.039,0.0255
68,0.0134,0.0246,0.0402,0.0537,0.0532,0.0129,0.0223,0.0586,0.0865,0.0389,0.0238
117,0.0866,0.0669,0.0323,0.0168,0.0302,0.0972,0.064,0.0292,0.0143,0.0101,0.0238
673,0.0,0.0134,0.0179,0.0536,0.1474,0.0,0.0111,0.0144,0.034,0.0679,0.0161
32,0.0274,0.0387,0.0291,0.0165,0.03,0.0342,0.0997,0.0521,0.0183,0.0092,0.0238
